category_id,category
1,식음료 > 음식 > 스프/죽
2,식음료 > 음식 > 견과류/씨앗류
3,식음료 > 음식 > 스낵/칩
4,식음료 > 음식 > 육류 대용품
5,식음료 > 음식 > 향신료/시즈닝
6,식음료 > 음식 > 파스타/곡물
7,식음료 > 음식 > 조리식품/밀키트
8,식음료 > 음식 > 캔디/초콜릿
9,식음료 > 음식 > 딥/스프레드
10,식음료 > 음식 > 육류/해산물
11,식음료 > 음식 > 베이커리/빵
12,식음료 > 음식 > 양념/소스
13,식음료 > 음식 > 유제품/계란/치즈
14,식음료 > 음식 > 냉동식품
15,식음료 > 음식 > 베이킹 재료
16,식음료 > 음식 > 과일/야채
17,식음료 > 음식 > 아침식사/시리얼
18,식음료 > 음식
19,식음료 > 음료 > 스포츠/에너지 음료
20,식음료 > 음료 > 주스
21,식음료 > 음료 > 분말 음료
22,식음료 > 음료 > 탄산음료
23,식음료 > 음료 > 물
24,식음료 > 음료 > 커피/차
25,식음료 > 음료 > 주류
26,식음료 > 음료 > 우유
27,식음료 > 음료
28,식음료
29,장난감/게임 > 야외용 장난감
30,장난감/게임 > 봉제인형/장난감
31,장난감/게임 > 게임 > 롤플레잉 게임
32,장난감/게임 > 게임 > 체스
33,장난감/게임 > 게임 > 미니어처/전쟁 게임
34,장난감/게임 > 게임 > 주사위 게임
35,장난감/게임 > 게임 > 타일 게임
36,장난감/게임 > 게임 > 카드 게임
37,장난감/게임 > 게임 > 순발력 게임
38,장난감/게임 > 게임 > 보드게임
39,장난감/게임 > 게임
40,장난감/게임 > 퍼즐
41,장난감/게임 > 승용 완구
42,장난감/게임 > 흉내내기 놀이
43,장난감/게임 > 장난감 자동차
44,장난감/게임 > 원격 조종 장난감
45,장난감/게임 > 교육용 장난감
46,장난감/게임 > 인형/인형 집
47,장난감/게임 > 건물 장난감
48,장난감/게임 > 액션 피규어
49,장난감/게임 > 전자 장난감
50,장난감/게임
51,집 수리/인테리어 > 가정용 냉난방기
52,집 수리/인테리어 > 건축 자재/철물
53,집 수리/인테리어 > 배관 시설
54,집 수리/인테리어 > 공구 > 사다리/비계
55,집 수리/인테리어 > 공구 > 페인팅 도구
56,집 수리/인테리어 > 공구 > 전동공구
57,집 수리/인테리어 > 공구 > 측정 도구/센서
58,집 수리/인테리어 > 공구 > 에어공구
59,집 수리/인테리어 > 공구 > 수공구
60,집 수리/인테리어 > 공구
61,집 수리/인테리어
62,스포츠 용품 > 스포츠 장비 > 아이스/롤러 하키
63,스포츠 용품 > 스포츠 장비 > 럭비
64,스포츠 용품 > 스포츠 장비 > 테니스/라켓 운동
65,스포츠 용품 > 스포츠 장비 > 배구
66,스포츠 용품 > 스포츠 장비 > 골프
67,스포츠 용품 > 스포츠 장비 > 축구
68,스포츠 용품 > 스포츠 장비 > 미식축구
69,스포츠 용품 > 스포츠 장비 > 육상 경기
70,스포츠 용품 > 스포츠 장비 > 크리켓
71,스포츠 용품 > 스포츠 장비 > 필드 하키/라크로스
72,스포츠 용품 > 스포츠 장비 > 권투/무술
73,스포츠 용품 > 스포츠 장비 > 춤/체조
74,스포츠 용품 > 스포츠 장비 > 야구/소프트볼
75,스포츠 용품 > 스포츠 장비 > 농구
76,스포츠 용품 > 스포츠 장비
77,스포츠 용품 > 운동/피트니스 > 요가/필라테스
78,스포츠 용품 > 운동/피트니스 > 유산소 운동 기구
79,스포츠 용품 > 운동/피트니스 > 역도 장비
80,스포츠 용품 > 운동/피트니스
81,스포츠 용품 > 실내 운동
82,스포츠 용품 > 야외 레크리에이션 > 낚시
83,스포츠 용품 > 야외 레크리에이션 > 수상 스포츠/보트
84,스포츠 용품 > 야외 레크리에이션 > 스케이트보드
85,스포츠 용품 > 야외 레크리에이션 > 야외 운동
86,스포츠 용품 > 야외 레크리에이션 > 사이클링
